Iteration,Temperature,CurrentCost ftv170
881,5.3844e+01,14567
882,5.3790e+01,15434
883,5.3737e+01,14611
884,5.3683e+01,15194
885,5.3629e+01,14466
886,5.3575e+01,14981
887,5.3522e+01,14765
888,5.3468e+01,15652
889,5.3415e+01,14156
890,5.3361e+01,14420
891,5.3308e+01,14670
892,5.3255e+01,14618
893,5.3202e+01,15019
894,5.3148e+01,15396
895,5.3095e+01,14703
896,5.3042e+01,14571
897,5.2989e+01,14239
898,5.2936e+01,14184
899,5.2883e+01,13940
900,5.2830e+01,14823
901,5.2777e+01,15666
902,5.2725e+01,14865
903,5.2672e+01,14979
904,5.2619e+01,16055
905,5.2567e+01,14544
906,5.2514e+01,15243
907,5.2462e+01,15085
908,5.2409e+01,15345
909,5.2357e+01,15361
910,5.2304e+01,15027
911,5.2252e+01,14400
912,5.2200e+01,14670
913,5.2148e+01,15253
914,5.2095e+01,16287
915,5.2043e+01,15962
916,5.1991e+01,14316
917,5.1939e+01,15022
918,5.1887e+01,13990
919,5.1835e+01,13613
920,5.1784e+01,14375
921,5.1732e+01,15139
922,5.1680e+01,14664
923,5.1628e+01,15254
924,5.1577e+01,14288
925,5.1525e+01,15917
926,5.1474e+01,14237
927,5.1422e+01,13708
928,5.1371e+01,15030
929,5.1319e+01,14868
930,5.1268e+01,15393
931,5.1217e+01,14737
932,5.1166e+01,13511
933,5.1114e+01,15931
934,5.1063e+01,15065
935,5.1012e+01,14332
936,5.0961e+01,14922
937,5.0910e+01,14735
938,5.0859e+01,15581
939,5.0809e+01,13762
940,5.0758e+01,14866
941,5.0707e+01,15280
942,5.0656e+01,14194
943,5.0606e+01,14389
944,5.0555e+01,13671
945,5.0504e+01,14723
946,5.0454e+01,15098
947,5.0404e+01,13803
948,5.0353e+01,13996
949,5.0303e+01,14740
950,5.0252e+01,14690
951,5.0202e+01,15548
952,5.0152e+01,14702
953,5.0102e+01,13875
954,5.0052e+01,13163
955,5.0002e+01,14445
956,4.9952e+01,13252
957,4.9902e+01,14774
958,4.9852e+01,15274
959,4.9802e+01,14127
960,4.9752e+01,13874
961,4.9702e+01,13651
962,4.9653e+01,14693
963,4.9603e+01,13083
964,4.9553e+01,14247
965,4.9504e+01,14266
966,4.9454e+01,14424
967,4.9405e+01,14593
968,4.9356e+01,14528
969,4.9306e+01,14356
970,4.9257e+01,13763
971,4.9208e+01,14442
972,4.9158e+01,14008
973,4.9109e+01,14472
974,4.9060e+01,15319
975,4.9011e+01,13671
976,4.8962e+01,13158
977,4.8913e+01,15288
978,4.8864e+01,13474
979,4.8815e+01,13780
980,4.8767e+01,16056
981,4.8718e+01,13807
982,4.8669e+01,14465
983,4.8620e+01,13691
984,4.8572e+01,13965
985,4.8523e+01,14801
986,4.8475e+01,13440
987,4.8426e+01,14968
988,4.8378e+01,14221
989,4.8329e+01,15285
990,4.8281e+01,14183
991,4.8233e+01,14226
992,4.8185e+01,15058
993,4.8136e+01,14703
994,4.8088e+01,14440
995,4.8040e+01,13901
996,4.7992e+01,14306
997,4.7944e+01,14018
998,4.7896e+01,12912
999,4.7848e+01,13568
1000,4.7800e+01,13157
1001,4.7753e+01,14759
1002,4.7705e+01,15101
1003,4.7657e+01,13529
1004,4.7609e+01,14562
1005,4.7562e+01,14463
1006,4.7514e+01,14439
1007,4.7467e+01,13776
1008,4.7419e+01,13931
1009,4.7372e+01,14672
1010,4.7325e+01,15346
1011,4.7277e+01,13761
1012,4.7230e+01,14354
1013,4.7183e+01,12833
1014,4.7136e+01,14581
1015,4.7088e+01,14049
1016,4.7041e+01,13604
1017,4.6994e+01,13620
1018,4.6947e+01,13907
1019,4.6900e+01,13399
1020,4.6853e+01,13584
1021,4.6807e+01,13298
1022,4.6760e+01,13816
1023,4.6713e+01,13421
1024,4.6666e+01,13761
1025,4.6620e+01,13737
1026,4.6573e+01,12545
1027,4.6526e+01,13268
1028,4.6480e+01,13639
1029,4.6433e+01,13986
1030,4.6387e+01,13731
1031,4.6341e+01,13025
1032,4.6294e+01,13266
1033,4.6248e+01,13566
1034,4.6202e+01,14784
1035,4.6156e+01,13834
1036,4.6109e+01,13024
1037,4.6063e+01,13644
1038,4.6017e+01,13991
1039,4.5971e+01,13263
1040,4.5925e+01,12889
1041,4.5879e+01,13759
1042,4.5833e+01,13705
1043,4.5788e+01,13448
1044,4.5742e+01,13914
1045,4.5696e+01,11964
1046,4.5650e+01,12982
1047,4.5605e+01,14210
1048,4.5559e+01,14318
1049,4.5514e+01,12844
1050,4.5468e+01,14900
1051,4.5423e+01,13880
1052,4.5377e+01,14300
1053,4.5332e+01,12295
1054,4.5286e+01,14159
1055,4.5241e+01,12952
1056,4.5196e+01,13665
1057,4.5151e+01,13352
1058,4.5106e+01,13588
1059,4.5060e+01,13321
1060,4.5015e+01,13085
1061,4.4970e+01,12921
1062,4.4925e+01,13906
1063,4.4880e+01,13589
1064,4.4836e+01,13984
