Iteration,Temperature,CurrentCost d198
490,8.6359e+01,33356
491,8.6273e+01,32282
492,8.6187e+01,31626
493,8.6100e+01,32474
494,8.6014e+01,35546
495,8.5928e+01,34556
496,8.5842e+01,33304
497,8.5756e+01,32753
498,8.5671e+01,33293
499,8.5585e+01,31558
500,8.5499e+01,33603
501,8.5414e+01,31781
502,8.5329e+01,31665
503,8.5243e+01,31814
504,8.5158e+01,33223
505,8.5073e+01,32392
506,8.4988e+01,32502
507,8.4903e+01,35344
508,8.4818e+01,35702
509,8.4733e+01,33446
510,8.4648e+01,32109
511,8.4564e+01,31251
512,8.4479e+01,32353
513,8.4395e+01,30088
514,8.4310e+01,32262
515,8.4226e+01,31635
516,8.4142e+01,30674
517,8.4058e+01,31710
518,8.3973e+01,32407
519,8.3889e+01,33840
520,8.3806e+01,33288
521,8.3722e+01,34074
522,8.3638e+01,32541
523,8.3554e+01,32106
524,8.3471e+01,31257
525,8.3387e+01,31345
526,8.3304e+01,31407
527,8.3221e+01,32398
528,8.3137e+01,33034
529,8.3054e+01,32372
530,8.2971e+01,32496
531,8.2888e+01,32783
532,8.2805e+01,31498
533,8.2723e+01,32553
534,8.2640e+01,32953
535,8.2557e+01,31961
536,8.2475e+01,32998
537,8.2392e+01,35126
538,8.2310e+01,34816
539,8.2228e+01,33661
540,8.2145e+01,32920
541,8.2063e+01,32705
542,8.1981e+01,32324
543,8.1899e+01,32706
544,8.1817e+01,31286
545,8.1735e+01,31710
546,8.1654e+01,30054
547,8.1572e+01,32628
548,8.1490e+01,33484
549,8.1409e+01,32464
550,8.1328e+01,33448
551,8.1246e+01,32773
552,8.1165e+01,34263
553,8.1084e+01,32369
554,8.1003e+01,31063
555,8.0922e+01,31517
556,8.0841e+01,30194
557,8.0760e+01,30814
558,8.0679e+01,32150
559,8.0599e+01,32874
560,8.0518e+01,30844
561,8.0437e+01,30941
562,8.0357e+01,33533
563,8.0277e+01,31940
564,8.0196e+01,30901
565,8.0116e+01,31288
566,8.0036e+01,31124
567,7.9956e+01,32726
568,7.9876e+01,31251
569,7.9796e+01,31027
570,7.9716e+01,30774
571,7.9637e+01,30398
572,7.9557e+01,32267
573,7.9477e+01,29940
574,7.9398e+01,31120
575,7.9319e+01,30893
576,7.9239e+01,31291
577,7.9160e+01,31738
578,7.9081e+01,32162
579,7.9002e+01,33247
580,7.8923e+01,32446
581,7.8844e+01,31385
582,7.8765e+01,32364
583,7.8686e+01,30606
584,7.8608e+01,29311
585,7.8529e+01,29736
586,7.8450e+01,30748
587,7.8372e+01,30688
588,7.8294e+01,31269
589,7.8215e+01,31042
590,7.8137e+01,29946
591,7.8059e+01,30968
592,7.7981e+01,31202
593,7.7903e+01,29742
594,7.7825e+01,29197
595,7.7747e+01,30654
596,7.7669e+01,30436
597,7.7592e+01,31237
598,7.7514e+01,31967
599,7.7437e+01,29826
600,7.7359e+01,30713
601,7.7282e+01,30977
602,7.7205e+01,30822
603,7.7127e+01,30073
604,7.7050e+01,32600
605,7.6973e+01,33972
606,7.6896e+01,33661
607,7.6819e+01,32286
608,7.6743e+01,34368
609,7.6666e+01,31801
610,7.6589e+01,31586
611,7.6513e+01,30416
612,7.6436e+01,29828
613,7.6360e+01,29383
614,7.6283e+01,30899
615,7.6207e+01,28882
616,7.6131e+01,30394
617,7.6055e+01,30215
618,7.5979e+01,29096
619,7.5903e+01,30671
620,7.5827e+01,30619
621,7.5751e+01,29081
622,7.5675e+01,30074
623,7.5599e+01,31646
624,7.5524e+01,32526
625,7.5448e+01,32250
626,7.5373e+01,34060
627,7.5297e+01,31374
628,7.5222e+01,31937
629,7.5147e+01,29561
630,7.5072e+01,34051
631,7.4997e+01,29545
632,7.4922e+01,32635
633,7.4847e+01,31531
634,7.4772e+01,31833
635,7.4697e+01,30478
636,7.4622e+01,30481
637,7.4548e+01,30782
638,7.4473e+01,31617
639,7.4399e+01,30870
640,7.4324e+01,30643
641,7.4250e+01,30472
642,7.4176e+01,30628
643,7.4102e+01,31014
644,7.4028e+01,31004
645,7.3954e+01,30606
646,7.3880e+01,31945
647,7.3806e+01,31224
648,7.3732e+01,29578
649,7.3658e+01,30924
650,7.3585e+01,31542
651,7.3511e+01,30553
652,7.3437e+01,31116
653,7.3364e+01,31068
654,7.3291e+01,31259
655,7.3217e+01,32294
656,7.3144e+01,31132
657,7.3071e+01,30152
658,7.2998e+01,30498
659,7.2925e+01,30058
660,7.2852e+01,31233
661,7.2779e+01,30636
662,7.2706e+01,30471
663,7.2634e+01,29959
664,7.2561e+01,32486
665,7.2488e+01,30302
666,7.2416e+01,31326
667,7.2344e+01,29416
668,7.2271e+01,29663
669,7.2199e+01,30526
670,7.2127e+01,29884
671,7.2055e+01,29227
672,7.1983e+01,31140
673,7.1911e+01,29849
674,7.1839e+01,28708
675,7.1767e+01,28859
676,7.1695e+01,31642
677,7.1623e+01,29557
678,7.1552e+01,30733
679,7.1480e+01,29798
680,7.1409e+01,31086
681,7.1337e+01,29796
682,7.1266e+01,30222
683,7.1195e+01,28321
684,7.1123e+01,27415
685,7.1052e+01,29654
686,7.0981e+01,28960
687,7.0910e+01,28076
688,7.0839e+01,29125
689,7.0769e+01,28441
690,7.0698e+01,29708
691,7.0627e+01,30824
692,7.0556e+01,30590
693,7.0486e+01,29387
694,7.0415e+01,30442
695,7.0345e+01,31166
696,7.0275e+01,30410
697,7.0204e+01,30226
698,7.0134e+01,30355
699,7.0064e+01,30252
700,6.9994e+01,29954
701,6.9924e+01,29729
702,6.9854e+01,29017
703,6.9784e+01,29872
704,6.9714e+01,29039
705,6.9645e+01,28521
706,6.9575e+01,28918
707,6.9506e+01,27966
708,6.9436e+01,29227
709,6.9367e+01,28167
710,6.9297e+01,28977
711,6.9228e+01,29934
712,6.9159e+01,28927
713,6.9090e+01,28876
714,6.9020e+01,28440
715,6.8951e+01,28219
716,6.8882e+01,28208
717,6.8814e+01,28918
718,6.8745e+01,28687
719,6.8676e+01,28975
720,6.8607e+01,28020
721,6.8539e+01,30087
722,6.8470e+01,29596
723,6.8402e+01,28772
724,6.8333e+01,29778
725,6.8265e+01,30147
726,6.8197e+01,29110
727,6.8129e+01,27720
728,6.8060e+01,27186
729,6.7992e+01,28148
730,6.7924e+01,28546
731,6.7856e+01,28943
732,6.7789e+01,30126
733,6.7721e+01,30111
734,6.7653e+01,31282
735,6.7585e+01,28932
736,6.7518e+01,29048
737,6.7450e+01,29924
738,6.7383e+01,28355
739,6.7315e+01,28461
740,6.7248e+01,29225
741,6.7181e+01,28041
742,6.7114e+01,29525
743,6.7047e+01,28415
744,6.6980e+01,29783
745,6.6913e+01,29494
746,6.6846e+01,28162
747,6.6779e+01,27886
748,6.6712e+01,28922
749,6.6645e+01,27773
750,6.6579e+01,28478
751,6.6512e+01,29084
752,6.6446e+01,29554
753,6.6379e+01,29099
754,6.6313e+01,27647
755,6.6246e+01,26905
756,6.6180e+01,27058
757,6.6114e+01,29468
758,6.6048e+01,26605
759,6.5982e+01,28071
760,6.5916e+01,27916
761,6.5850e+01,27426
762,6.5784e+01,27214
763,6.5718e+01,27881
764,6.5653e+01,27132
765,6.5587e+01,27705
766,6.5521e+01,25780
767,6.5456e+01,27326
768,6.5390e+01,28317
769,6.5325e+01,27441
770,6.5260e+01,27578
771,6.5194e+01,30454
772,6.5129e+01,29751
773,6.5064e+01,27914
774,6.4999e+01,27458
775,6.4934e+01,28173
776,6.4869e+01,27642
777,6.4804e+01,27079
778,6.4739e+01,26582
779,6.4675e+01,27581
780,6.4610e+01,27158
781,6.4545e+01,28377
782,6.4481e+01,27853
783,6.4416e+01,28384
784,6.4352e+01,28230
785,6.4288e+01,29394
786,6.4223e+01,29524
787,6.4159e+01,29217
788,6.4095e+01,28566
789,6.4031e+01,28753
790,6.3967e+01,28550
791,6.3903e+01,28387
792,6.3839e+01,29490
793,6.3775e+01,29422
794,6.3711e+01,29875
795,6.3648e+01,28907
796,6.3584e+01,28036
797,6.3520e+01,27767
798,6.3457e+01,29560
799,6.3393e+01,27943
800,6.3330e+01,28263
801,6.3267e+01,28221
802,6.3203e+01,27709
803,6.3140e+01,27845
804,6.3077e+01,27894
805,6.3014e+01,28360
806,6.2951e+01,27875
807,6.2888e+01,28726
808,6.2825e+01,27581
809,6.2762e+01,29062
810,6.2700e+01,30087
811,6.2637e+01,28904
812,6.2574e+01,28667
813,6.2512e+01,28233
814,6.2449e+01,28590
815,6.2387e+01,27175
816,6.2324e+01,27897
817,6.2262e+01,28721
818,6.2200e+01,27752
819,6.2138e+01,28075
820,6.2075e+01,27537
821,6.2013e+01,27526
822,6.1951e+01,27842
823,6.1889e+01,28415
824,6.1827e+01,27326
825,6.1766e+01,23766
826,6.1704e+01,26502
827,6.1642e+01,26912
828,6.1581e+01,25908
829,6.1519e+01,26993
830,6.1457e+01,26667
831,6.1396e+01,26910
832,6.1335e+01,26918
833,6.1273e+01,26768
834,6.1212e+01,26579
835,6.1151e+01,28764
836,6.1090e+01,27885
837,6.1029e+01,27787
838,6.0967e+01,27398
839,6.0907e+01,27927
840,6.0846e+01,27861
841,6.0785e+01,27401
842,6.0724e+01,27722
843,6.0663e+01,26883
844,6.0603e+01,28527
845,6.0542e+01,26781
846,6.0481e+01,26543
847,6.0421e+01,26648
848,6.0361e+01,26832
849,6.0300e+01,26647
850,6.0240e+01,27566
851,6.0180e+01,27999
